ID,Prob1
452, 0.79
453, 0.33
454, 0.30
455, 0.16
456, 0.77
457, 0.28
458, 0.59
459, 0.30
460, 0.56
461, 0.00
462, 0.07
463, 0.27
464, 0.31
465, 0.00
466, 0.15
467, 0.40
468, 0.20
469, 0.22
470, 0.53
471, 0.27
472, 0.38
473, 0.47
474, 0.30
475, 0.35
476, 0.30
477, 0.02
478, 0.31
479, 0.23
480, 0.30
481, 0.07
482, 0.05
483, 0.51
484, 0.12
485, 0.78
486, 0.54
487, 0.73
488, 0.62
489, 0.68
490, 0.10
491, 0.12
492, 0.02
493, 0.28
494, 0.41
495, 0.31
496, 0.88
497, 0.67
498, 0.92
499, 0.51
500, 0.01
501, 0.21
502, 0.48
503, 0.07
504, 0.60
505, 0.18
506, 0.60
507, 0.04
508, 0.03
509, 0.30
510, 0.32
511, 0.35
512, 0.12
513, 0.04
514, 0.20
515, 0.53
516, 0.09
517, 0.37
518, 0.40
519, 0.87
520, 0.66
521, 0.21
522, 0.18
523, 0.46
524, 0.25
525, 0.65
526, 0.17
527, 0.46
528, 0.46
529, 0.17
530, 0.36
531, 0.48
532, 0.50
533, 0.17
534, 0.75
535, 0.62
536, 0.32
537, 0.03
538, 0.22
539, 0.46
540, 0.04
541, 0.00
542, 0.66
543, 0.44
544, 0.26
545, 0.61
546, 0.60
547, 0.14
548, 0.86
549, 0.00
550, 0.47
551, 0.13
552, 0.85
553, 0.13
554, 0.23
555, 0.00
556, 0.11
557, 0.09
558, 0.63
559, 0.14
560, 0.17
561, 0.65
562, 0.08
563, 0.20
564, 0.28
565, 0.43
566, 0.00
567, 0.68
568, 0.53
569, 0.44
570, 0.24
571, 0.09
572, 0.12
573, 0.37
574, 0.50
575, 0.68
576, 0.19
577, 0.63
578, 0.14
579, 0.26
580, 0.49
581, 0.12
582, 0.51
583, 0.64
584, 0.10
585, 0.21
586, 0.65
587, 0.44
588, 0.09
589, 0.87
590, 0.03
591, 0.00
592, 0.69
593, 0.51
594, 0.23
595, 0.47
596, 0.45
597, 0.21
598, 0.30
599, 0.17
600, 0.50
601, 0.49
602, 0.29
603, 0.56
604, 0.05
605, 0.10
606, 0.31
607, 0.01
608, 0.70
609, 0.36
610, 0.80
611, 0.58
612, 0.12
613, 0.59
614, 0.27
615, 0.00
616, 0.60
617, 0.23
618, 0.13
619, 0.21
620, 0.64
621, 0.75
622, 0.17
623, 0.40
624, 0.21
625, 0.07
626, 0.31
627, 0.29
628, 0.41
629, 0.76
630, 0.43
631, 0.65
632, 0.12
633, 0.03
634, 0.06
635, 0.57
636, 0.44
637, 0.21
638, 0.56
639, 0.35
640, 0.34
641, 0.55
642, 0.32
643, 0.61
644, 0.71
645, 0.25
646, 0.17
647, 0.21
648, 0.14
649, 0.05
650, 0.33
651, 0.29
652, 0.82
653, 0.02
654, 0.20
655, 0.29
656, 0.14
657, 0.69
658, 0.39
659, 0.20
660, 0.74
661, 0.32
662, 0.00
663, 0.01
664, 0.86
665, 0.22
666, 0.14
667, 0.36
668, 0.87
669, 0.14
670, 0.01
671, 0.36
672, 0.10
673, 0.00
674, 0.09
675, 0.61
676, 0.35
677, 0.36
678, 0.28
679, 0.32
680, 0.83
681, 0.14
682, 0.27
683, 0.82
684, 0.37
685, 0.15
686, 0.01
687, 0.11
688, 0.03
689, 0.56
690, 0.74
691, 0.17
692, 0.96
693, 0.65
694, 0.48
695, 0.33
696, 0.29
697, 0.17
698, 0.00
699, 0.16
700, 0.47
701, 0.32
702, 0.28
703, 0.51
704, 0.60
705, 0.46
706, 0.49
707, 0.04
708, 0.24
709, 0.11
710, 0.31
711, 0.86
712, 0.08
713, 0.05
714, 0.17
715, 0.42
716, 0.76
717, 0.35
718, 0.40
719, 0.01
720, 0.55
721, 0.73
722, 0.68
723, 0.49
724, 0.07
725, 0.67
726, 0.15
727, 0.67
728, 0.33
729, 0.13
730, 0.04
731, 0.15
732, 0.27
733, 0.02
734, 0.26
735, 0.25
736, 0.10
737, 0.04
738, 0.83
739, 0.43
740, 0.66
741, 0.80
742, 0.27
743, 0.11
744, 0.49
745, 0.53
746, 0.63
747, 0.41
748, 0.05
749, 0.17
750, 0.15
751, 0.53
752, 0.51
753, 0.00
754, 0.08
755, 0.47
756, 0.38
757, 0.18
758, 0.01
759, 0.19
760, 0.28
761, 0.30
762, 0.70
763, 0.21
764, 0.34
765, 0.30
766, 0.10
767, 0.00
768, 0.32
769, 0.84
770, 0.65
771, 0.01
772, 0.18
773, 0.25
774, 0.37
775, 0.17
776, 0.01
777, 0.02
778, 0.18
779, 0.01
780, 0.82
781, 0.07
782, 0.03
783, 0.21
784, 0.41
785, 0.12
786, 0.37
787, 0.83
788, 0.72
789, 0.41
790, 0.21
791, 0.44
792, 0.35
793, 0.54
794, 0.96
795, 0.22
796, 0.50
797, 0.94
798, 0.70
799, 0.28
800, 0.80
801, 0.28
802, 0.50
803, 0.00
804, 0.42
805, 0.82
806, 0.31
807, 0.30
808, 0.10
809, 0.63
810, 0.42
811, 0.85
812, 0.32
813, 0.31
814, 0.37
815, 0.00
816, 0.36
817, 0.53
818, 0.18
819, 0.39
820, 0.34
821, 0.31
822, 0.16
823, 0.53
824, 0.17
825, 0.19
826, 0.77
827, 0.00
828, 0.10
829, 0.68
830, 0.35
831, 0.18
832, 0.34
833, 0.39
834, 0.27
835, 0.76
836, 0.33
837, 0.26
838, 0.36
839, 0.00
840, 0.39
841, 0.51
842, 0.00
843, 0.51
844, 0.22
845, 0.43
846, 0.47
847, 0.60
848, 0.22
849, 0.65
850, 0.33
851, 0.60
852, 0.46
853, 0.37
854, 0.18
855, 0.40
856, 0.59
857, 0.46
858, 0.03
859, 0.46
860, 0.00
861, 0.00
862, 0.20
863, 0.53
864, 0.51
865, 0.35
866, 0.02
867, 0.43
868, 0.31
869, 0.22
870, 0.99
871, 0.24
872, 0.41
873, 0.34
874, 0.50
875, 0.39
876, 0.34
877, 0.36
878, 0.55
879, 0.19
880, 0.18
881, 0.32
882, 0.28
883, 0.74
884, 0.33
885, 0.11
886, 0.25
887, 0.42
888, 0.27
889, 0.69
890, 0.04
891, 0.44
892, 0.49
893, 0.34
894, 0.47
895, 0.33
896, 0.26
897, 0.13
898, 0.53
899, 0.13
900, 0.81
901, 0.80
902, 0.49
903, 0.39
904, 0.57
905, 0.80
906, 0.54
907, 0.86
908, 0.86
909, 0.51
910, 0.35
911, 0.04
912, 0.00
913, 0.47
914, 0.00
915, 0.22
916, 0.40
917, 0.34
918, 0.14
919, 0.19
920, 0.75
921, 0.63
922, 0.02
923, 0.57
924, 0.70
925, 0.09
926, 0.11
927, 0.29
928, 0.58
929, 0.20
930, 0.40
931, 0.00
932, 0.18
933, 0.69
934, 0.41
935, 0.18
936, 0.13
937, 0.79
938, 0.45
939, 0.74
940, 0.15
941, 0.01
942, 0.83
943, 0.28
944, 0.23
945, 0.01
946, 0.48
947, 0.00
948, 0.35
949, 0.08
950, 0.44
951, 0.68
952, 0.12
953, 0.95
954, 0.29
955, 0.15
956, 0.30
957, 0.00
958, 0.33
959, 0.24
960, 0.48
961, 0.49
962, 0.15
963, 0.32
964, 0.12
965, 0.09
966, 0.83
967, 0.68
968, 0.15
969, 0.40
970, 0.70
971, 0.65
972, 0.41
973, 0.22
974, 0.83
975, 0.74
976, 0.00
977, 0.12
978, 0.12
979, 0.07
980, 0.40
981, 0.41
982, 0.53
983, 0.29
984, 0.17
985, 0.02
986, 0.29
987, 0.33
988, 0.03
989, 0.45
990, 0.12
991, 0.97
992, 0.11
993, 0.36
994, 0.02
995, 0.52
996, 0.38
997, 0.48
998, 0.44
999, 0.11
1000, 0.00
1001, 0.85
1002, 0.52
1003, 0.55
1004, 0.75
1005, 0.31
1006, 0.20
1007, 0.83
1008, 0.01
1009, 0.69
1010, 0.10
1011, 0.64
1012, 0.06
1013, 0.69
1014, 0.75
1015, 0.15
1016, 0.53
1017, 0.62
1018, 0.40
1019, 0.11
1020, 0.41
1021, 0.74
1022, 0.74
1023, 0.97
1024, 0.00
1025, 0.28
1026, 0.23
1027, 0.78
1028, 0.48
1029, 0.90
1030, 0.37
1031, 0.67
1032, 0.13
1033, 0.33
1034, 0.30
1035, 0.42
1036, 0.15
1037, 0.30
1038, 0.47
1039, 0.43
1040, 0.51
1041, 0.48
1042, 0.63
1043, 0.49
1044, 0.56
1045, 0.23
1046, 0.03
1047, 0.02
1048, 0.51
1049, 0.47
1050, 0.00
1051, 0.47
1052, 0.10
1053, 0.05
1054, 0.13
1055, 0.10
1056, 0.42
1057, 0.35
1058, 0.37
1059, 0.28
1060, 0.38
1061, 0.34
1062, 0.11
1063, 0.43
1064, 0.02
1065, 0.44
1066, 0.16
1067, 0.64
1068, 0.25
1069, 0.09
1070, 0.88
1071, 0.41
1072, 0.37
1073, 0.38
1074, 0.35
1075, 0.11
1076, 0.24
1077, 0.04
1078, 0.01
1079, 0.71
1080, 0.21
1081, 0.51
1082, 0.61
1083, 0.43
1084, 0.32
1085, 0.07
1086, 0.05
1087, 0.44
1088, 0.65
1089, 0.63
1090, 0.09
1091, 0.01
1092, 0.20
1093, 0.24
1094, 0.00
1095, 0.38
1096, 0.26
1097, 0.06
1098, 0.20
1099, 0.15
1100, 0.55
1101, 0.16
1102, 0.41
1103, 0.68
1104, 0.57
1105, 0.42
1106, 0.75
1107, 0.00
1108, 0.58
1109, 0.48
1110, 0.51
1111, 0.19
1112, 0.72
1113, 0.36
1114, 0.04
1115, 0.33
1116, 0.39
1117, 0.64
1118, 0.01
1119, 0.27
1120, 0.52
1121, 0.57
1122, 0.17
1123, 0.18
1124, 0.51
1125, 0.19
1126, 0.57
1127, 0.24
1128, 0.23
1129, 0.32
1130, 0.47
1131, 0.32
1132, 0.65
1133, 0.45
1134, 0.55
1135, 0.62
1136, 0.59
1137, 0.14
1138, 0.18
1139, 0.59
1140, 0.60
1141, 0.21
1142, 0.22
1143, 0.28
1144, 0.75
1145, 0.41
1146, 0.00
1147, 0.00
1148, 0.10
1149, 0.49
1150, 0.08
1151, 0.14
1152, 0.20
1153, 0.24
1154, 0.02
1155, 0.20
1156, 0.13
1157, 0.41
1158, 0.41
1159, 0.44
1160, 0.42
1161, 0.01
1162, 0.00
1163, 0.46
1164, 0.15
1165, 0.81
1166, 0.53
1167, 0.11
1168, 0.17
1169, 0.26
1170, 0.20
1171, 0.90
1172, 0.31
1173, 0.59
1174, 0.47
1175, 0.43
1176, 0.89
1177, 0.49
1178, 0.62
1179, 0.45
1180, 0.00
1181, 0.00
1182, 0.19
1183, 0.43
1184, 0.56
1185, 0.69
1186, 0.61
1187, 0.16
1188, 0.27
1189, 0.26
1190, 0.26
1191, 0.27
1192, 0.14
1193, 0.68
1194, 0.66
1195, 0.33
1196, 0.24
1197, 0.13
1198, 0.64
1199, 0.35
1200, 0.37
1201, 0.47
1202, 0.61
1203, 0.36
1204, 0.13
1205, 0.21
1206, 0.15
1207, 0.25
1208, 0.12
1209, 0.91
1210, 0.32
1211, 0.12
1212, 0.62
1213, 0.39
1214, 0.55
1215, 0.67
1216, 0.43
1217, 0.20
1218, 0.27
1219, 0.33
1220, 0.16
1221, 0.25
1222, 0.34
1223, 0.27
1224, 0.02
1225, 0.27
1226, 0.16
1227, 0.22
1228, 0.30
1229, 0.21
1230, 0.25
1231, 0.54
1232, 0.06
1233, 0.51
1234, 0.42
1235, 0.00
1236, 0.22
1237, 0.25
1238, 0.00
1239, 0.72
1240, 0.26
1241, 0.45
1242, 0.82
1243, 0.16
1244, 0.22
1245, 0.57
1246, 0.37
1247, 0.92
1248, 0.63
1249, 0.21
1250, 0.56
1251, 0.26
1252, 0.41
1253, 0.16
1254, 0.30
1255, 0.26
1256, 0.56
1257, 0.00
1258, 0.28
1259, 0.09
1260, 0.19
1261, 0.00
1262, 0.54
1263, 0.05
1264, 0.08
1265, 0.01
1266, 0.43
1267, 0.17
1268, 0.06
1269, 0.08
1270, 0.42
1271, 0.31
1272, 0.21
1273, 0.42
1274, 0.00
1275, 0.40
1276, 0.22
1277, 0.00
1278, 0.69
1279, 0.04
1280, 0.54
1281, 0.05
1282, 0.22
1283, 0.53
1284, 0.11
1285, 0.58
1286, 0.32
1287, 0.63
1288, 0.13
1289, 0.37
1290, 0.44
1291, 0.19
1292, 0.15
1293, 0.47
1294, 0.69
1295, 0.77
1296, 0.00
1297, 0.20
1298, 0.15
1299, 0.20
1300, 0.11
1301, 0.23
1302, 0.55
1303, 0.29
1304, 0.04
1305, 0.12
1306, 0.00
1307, 0.45
1308, 0.00
1309, 0.09
1310, 0.18
1311, 0.34
1312, 0.55
1313, 0.40
1314, 0.00
1315, 0.04
1316, 0.04
1317, 0.38
1318, 0.31
1319, 0.17
1320, 0.39
1321, 0.52
1322, 0.59
1323, 0.01
1324, 0.72
1325, 0.69
1326, 0.01
1327, 0.56
1328, 0.60
1329, 0.05
1330, 0.31
1331, 0.18
1332, 0.46
1333, 0.00
1334, 0.26
1335, 0.00
1336, 0.17
1337, 0.12
1338, 0.17
1339, 0.65
1340, 0.56
1341, 0.78
1342, 0.99
1343, 0.81
1344, 0.62
1345, 0.28
1346, 0.11
1347, 0.52
1348, 0.40
1349, 0.20
1350, 0.00
1351, 0.45
1352, 0.00
1353, 0.41
1354, 0.32
1355, 0.43
1356, 0.09
1357, 0.42
1358, 0.31
1359, 0.14
1360, 0.63
1361, 0.48
1362, 0.34
1363, 0.15
1364, 0.26
1365, 0.54
1366, 0.89
1367, 0.41
1368, 0.24
1369, 0.45
1370, 0.31
1371, 0.45
1372, 0.69
1373, 0.15
1374, 0.13
1375, 0.36
1376, 0.38
1377, 0.00
1378, 0.37
1379, 0.95
1380, 0.08
1381, 0.94
1382, 0.41
1383, 0.37
1384, 0.24
1385, 0.28
1386, 0.72
1387, 0.27
1388, 0.40
1389, 0.51
1390, 0.43
1391, 0.25
1392, 0.21
1393, 0.55
1394, 0.08
1395, 0.00
1396, 0.68
1397, 0.58
1398, 0.08
1399, 0.91
1400, 0.22
1401, 0.20
1402, 0.19
1403, 0.34
1404, 0.93
1405, 0.03
1406, 0.38
1407, 0.45
1408, 0.47
1409, 0.31
1410, 0.00
1411, 0.04
1412, 0.05
1413, 0.03
1414, 0.00
1415, 0.50
1416, 0.14
1417, 0.40
1418, 0.24
1419, 0.24
1420, 0.06
1421, 0.24
1422, 0.46
1423, 0.08
1424, 0.81
1425, 0.20
1426, 0.77
1427, 0.00
1428, 0.41
1429, 0.14
1430, 0.14
1431, 0.05
1432, 0.41
1433, 0.37
1434, 0.31
1435, 0.49
1436, 0.56
1437, 0.40
1438, 0.02
1439, 0.08
1440, 0.37
1441, 0.29
1442, 0.18
1443, 0.24
1444, 0.37
1445, 0.03
1446, 0.24
1447, 0.24
1448, 0.40
1449, 0.33
1450, 0.03
1451, 0.20
1452, 0.19
1453, 0.42
1454, 0.50
1455, 0.00
1456, 0.00
1457, 0.66
1458, 0.74
1459, 0.48
1460, 0.33
1461, 0.55
1462, 0.34
1463, 0.08
1464, 0.78
1465, 0.79
1466, 0.04
1467, 0.02
1468, 0.92
1469, 0.28
1470, 0.28
1471, 0.38
1472, 0.91
1473, 0.40
1474, 0.00
1475, 0.66
1476, 0.36
1477, 0.17
1478, 0.18
1479, 0.33
1480, 0.58
1481, 0.48
1482, 0.39
1483, 0.09
1484, 0.41
1485, 0.02
1486, 0.04
1487, 0.07
1488, 0.60
1489, 0.12
1490, 0.09
1491, 0.58
1492, 0.48
1493, 0.06
1494, 0.83
1495, 0.68
1496, 0.66
1497, 0.06
1498, 0.16
1499, 0.31
1500, 0.62
1501, 0.40
1502, 0.34
1503, 0.91
1504, 0.32
1505, 0.33
1506, 0.01
1507, 0.53
1508, 0.10
1509, 0.34
1510, 0.43
1511, 0.00
1512, 0.18
1513, 0.12
1514, 0.28
1515, 0.00
1516, 0.32
1517, 0.26
1518, 0.70
1519, 0.22
1520, 0.11
1521, 0.49
1522, 0.26
1523, 0.06
1524, 0.34
1525, 0.55
1526, 0.42
1527, 0.28
1528, 0.27
1529, 0.74
1530, 0.55
1531, 0.26
1532, 0.31
1533, 0.08
1534, 0.23
1535, 0.28
1536, 0.05
1537, 0.66
1538, 0.60
1539, 0.49
1540, 0.57
1541, 0.32
1542, 0.20
1543, 0.17
1544, 0.08
1545, 0.65
1546, 0.29
1547, 0.29
1548, 0.06
1549, 0.75
1550, 0.33
1551, 0.84
1552, 0.14
1553, 0.26
1554, 0.33
1555, 0.74
1556, 0.02
1557, 0.44
1558, 0.86
1559, 0.38
1560, 0.20
1561, 0.26
1562, 0.81
1563, 0.13
1564, 0.13
1565, 0.85
1566, 0.02
1567, 0.20
1568, 0.68
1569, 0.05
1570, 0.13
1571, 0.04
1572, 0.26
1573, 0.46
1574, 0.31
1575, 0.01
1576, 0.46
1577, 0.20
1578, 0.14
1579, 0.37
1580, 0.20
1581, 0.22
1582, 0.20
1583, 0.92
1584, 0.53
1585, 0.73
1586, 0.15
1587, 0.59
1588, 0.89
1589, 0.51
1590, 0.48
1591, 0.04
1592, 0.17
1593, 0.27
1594, 0.54
1595, 0.36
1596, 0.36
1597, 0.75
1598, 0.13
1599, 0.02
1600, 0.58
1601, 0.94
1602, 0.16
1603, 0.39
1604, 0.20
1605, 0.23
1606, 0.71
1607, 0.00
1608, 0.14
1609, 0.00
1610, 0.34
1611, 0.65
1612, 0.06
1613, 0.19
1614, 0.07
1615, 0.17
1616, 0.40
1617, 0.40
1618, 0.06
1619, 0.83
1620, 0.75
1621, 0.97
1622, 0.48
1623, 0.26
1624, 0.44
1625, 0.18
1626, 0.27
1627, 0.14
1628, 0.08
1629, 0.15
1630, 0.58
1631, 0.30
1632, 0.72
1633, 0.76
1634, 0.33
1635, 0.56
1636, 0.13
1637, 0.51
1638, 0.30
1639, 0.24
1640, 0.34
1641, 0.00
1642, 0.39
1643, 0.49
1644, 0.49
1645, 0.00
1646, 0.92
1647, 0.78
1648, 0.42
1649, 0.40
1650, 0.31
1651, 0.60
1652, 0.30
1653, 0.04
1654, 0.62
1655, 0.01
1656, 0.43
1657, 0.23
1658, 0.68
1659, 0.06
1660, 0.30
1661, 0.43
1662, 0.27
1663, 0.16
1664, 0.95
1665, 0.32
1666, 0.21
1667, 0.00
1668, 0.33
1669, 0.54
1670, 0.69
1671, 0.27
1672, 0.40
1673, 0.21
1674, 0.41
1675, 0.96
1676, 0.75
1677, 0.19
1678, 0.08
1679, 0.17
1680, 0.53
1681, 0.45
1682, 0.88
1683, 0.64
1684, 0.24
1685, 0.12
1686, 0.66
1687, 0.02
1688, 0.06
1689, 0.25
1690, 0.04
1691, 0.23
1692, 0.83
1693, 0.59
1694, 0.80
1695, 0.29
1696, 0.27
1697, 0.37
1698, 0.56
1699, 0.37
1700, 0.52
1701, 0.47
1702, 0.17
1703, 0.06
1704, 0.68
1705, 0.72
1706, 0.62
1707, 0.00
1708, 0.09
1709, 0.34
1710, 0.50
1711, 0.06
1712, 0.18
1713, 0.75
1714, 0.56
1715, 0.54
1716, 0.62
1717, 0.42
1718, 0.13
1719, 0.15
1720, 0.58
1721, 0.65
1722, 0.13
1723, 0.19
1724, 0.46
1725, 0.55
1726, 0.97
1727, 0.34
1728, 0.55
1729, 0.31
1730, 0.18
1731, 0.00
1732, 0.15
1733, 0.41
1734, 0.30
1735, 0.74
1736, 0.19
1737, 0.36
1738, 0.37
1739, 0.39
1740, 0.16
1741, 0.46
1742, 0.17
1743, 0.48
1744, 0.14
1745, 0.03
1746, 0.36
1747, 0.90
1748, 0.96
1749, 0.48
1750, 0.10
1751, 0.36
1752, 0.08
1753, 0.29
1754, 0.04
1755, 0.04
1756, 0.36
1757, 0.28
1758, 0.15
1759, 0.32
1760, 0.28
1761, 0.31
1762, 0.27
1763, 0.42
1764, 0.26
1765, 0.42
1766, 0.28
1767, 0.67
1768, 0.38
1769, 0.71
1770, 0.55
1771, 0.20
1772, 0.03
1773, 0.24
1774, 0.63
1775, 0.54
1776, 0.62
1777, 0.62
1778, 0.21
1779, 0.37
1780, 0.18
1781, 0.63
1782, 0.45
1783, 0.06
1784, 0.39
1785, 0.05
1786, 0.16
1787, 0.24
1788, 0.64
1789, 0.08
1790, 0.18
1791, 0.33
1792, 0.56
1793, 0.44
1794, 0.05
1795, 0.30
1796, 0.36
1797, 0.46
1798, 0.12
1799, 0.33
1800, 0.01
1801, 0.80
1802, 0.50
1803, 0.06
1804, 0.44
1805, 0.67
1806, 0.46
1807, 0.59
1808, 0.14
1809, 0.40
1810, 0.32
1811, 0.38
1812, 0.36
1813, 0.64
1814, 0.82
1815, 0.34
1816, 0.15
1817, 0.82
1818, 0.50
1819, 0.21
1820, 0.13
1821, 0.29
1822, 0.73
1823, 0.27
1824, 0.06
1825, 0.43
1826, 0.07
1827, 0.57
1828, 0.70
1829, 0.72
1830, 0.42
1831, 0.03
1832, 0.13
1833, 0.66
1834, 0.20
1835, 0.48
1836, 0.62
1837, 0.00
1838, 0.84
1839, 0.65
1840, 0.52
1841, 0.23
1842, 0.80
1843, 0.27
1844, 0.60
1845, 0.59
1846, 0.35
1847, 0.49
1848, 0.49
1849, 0.18
1850, 0.00
1851, 0.16
1852, 0.52
1853, 0.00
1854, 0.39
1855, 0.67
1856, 0.32
1857, 0.47
1858, 0.37
1859, 0.59
1860, 0.31
1861, 0.44
1862, 0.02
1863, 0.26
1864, 0.10
1865, 0.01
1866, 0.37
1867, 0.14
1868, 0.46
1869, 0.80
1870, 0.27
1871, 0.49
1872, 0.23
